trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
236,False,"{'a': 0.3, 'e': 0.385543073615936}",20,9,9.4252274218704,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.3, 'e': 0.3809248243668818}",20,7,11.991788754621304,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.3, 'e': 0.3762970520170581}",20,8,10.060325794250641,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.3, 'e': 0.371659872260533}",20,0,-52.29195750963413,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
240,False,"{'a': 0.3, 'e': 0.3670134010265584}",30,3,21.65544852210937,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.3, 'e': 0.3623577544766736}",20,0,-11.594984324064011,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
242,False,"{'a': 0.3, 'e': 0.3576930490017995}",25,0,-85.38350383790052,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
243,False,"{'a': 0.3, 'e': 0.35301940121933034}",25,8,21.75644427525257,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.3, 'e': 0.348336927970217}",25,7,-6.13031957540049,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
245,False,"{'a': 0.3, 'e': 0.34364574631604705}",25,10,-44.384678109443826,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
246,False,"{'a': 0.3, 'e': 0.3389459735361172}",25,11,-2.265901771723331,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
247,False,"{'a': 0.3, 'e': 0.3342377271245026}",35,1,-26.17301272211502,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 1}",1
248,False,"{'a': 0.3, 'e': 0.32952112478711787}",20,14,13.954445423262559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.3, 'e': 0.32479628443877623}",25,7,13.676684507656457,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.3, 'e': 0.32006332420023986}",20,13,-8.161878393960556,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
251,False,"{'a': 0.3, 'e': 0.3153223623952687}",30,8,-23.21566588822492,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.3, 'e': 0.3105735175476604}",30,16,-23.848319867729106,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
253,False,"{'a': 0.3, 'e': 0.3058169083782893}",20,11,-39.71845819399549,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.3, 'e': 0.3010526538021365}",20,8,-56.37629278981251,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
255,False,"{'a': 0.3, 'e': 0.2962808729253187}",20,15,1.3299619558674394,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.3, 'e': 0.2915016850421088}",20,12,2.8607725947353138,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.3, 'e': 0.28671520963195546}",25,8,-17.14367302874284,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
258,False,"{'a': 0.3, 'e': 0.2819215663564944}",25,7,1.7520203561348588,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
259,False,"{'a': 0.3, 'e': 0.2771208750565576}",20,8,-16.85215681494247,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
260,False,"{'a': 0.3, 'e': 0.272313255749178}",25,9,3.1036813231683746,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.3, 'e': 0.26749882862458735}",30,18,-34.17220870663844,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
262,False,"{'a': 0.3, 'e': 0.26267771404321355}",25,16,18.013703057643447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.3, 'e': 0.2578500325326696}",25,17,15.350552500778855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.3, 'e': 0.25301590478474223}",25,0,-14.807921429584747,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
265,False,"{'a': 0.3, 'e': 0.2481754516523729}",20,0,-2.0785624627714094,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
266,False,"{'a': 0.3, 'e': 0.24332879414663827}",20,5,-14.842335004834192,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.3, 'e': 0.23847605343372313}",25,12,0.5781247492446082,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
268,False,"{'a': 0.3, 'e': 0.23361735083189297}",30,15,15.599946045800134,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.3, 'e': 0.22875280780845939}",30,20,-1.250402209061874,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.3, 'e': 0.22388254597674498}",25,14,-32.36234343588533,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
271,False,"{'a': 0.3, 'e': 0.2190066870930415}",30,18,2.5193760002395016,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
272,False,"{'a': 0.3, 'e': 0.21412535305356747}",20,10,-17.810685407816162,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
273,False,"{'a': 0.3, 'e': 0.20923866589141926}",30,0,9.915682995040166,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",1
274,False,"{'a': 0.3, 'e': 0.2043467477735218}",20,0,-10.107988597917045,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
275,False,"{'a': 0.3, 'e': 0.19944972099757285}",25,0,30.587203729712993,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.3, 'e': 0.19454770798898718}",20,16,7.961282847026314,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.3, 'e': 0.18964083129783424}",20,3,-5.377060025654061,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
278,False,"{'a': 0.3, 'e': 0.1847292135957762}",20,16,8.690402384353083,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.3, 'e': 0.17981297767299934}",30,16,21.557914312450887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.3, 'e': 0.17489224643514614}",20,10,17.6049086209655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.3, 'e': 0.16996714290024081}",25,0,38.48910963698342,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
282,False,"{'a': 0.3, 'e': 0.16503779019561562}",25,19,7.910763795277079,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.3, 'e': 0.16010431155483126}",30,13,-53.579940332589146,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
284,False,"{'a': 0.3, 'e': 0.15516683031459658}",25,17,14.083623306254882,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.3, 'e': 0.15022546991168584}",20,7,-20.137208121897892,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
286,False,"{'a': 0.3, 'e': 0.14528035387985133}",30,15,26.868485811497337,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.3, 'e': 0.1403316058467367}",20,2,-21.379139943279046,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
288,False,"{'a': 0.3, 'e': 0.13537934953078465}",20,2,-17.381519407554805,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
289,False,"{'a': 0.3, 'e': 0.13042370873814554}",30,18,6.444957721507727,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.3, 'e': 0.12546480735958065}",25,4,19.108696175164823,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.3, 'e': 0.1205027693673666}",20,9,21.632091912737202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.3, 'e': 0.11553771881219435}",35,21,-39.06741804514659,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
293,False,"{'a': 0.3, 'e': 0.11056977982006957}",20,8,25.047842045564007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.3, 'e': 0.10559907658920793}",30,19,8.346408103798417,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.3, 'e': 0.10062573338693172}",35,12,-25.01888655202209,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
296,False,"{'a': 0.3, 'e': 0.09564987454656154}",20,5,25.07005461913932,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.3, 'e': 0.09067162446430967}",20,0,-21.432126665886692,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
298,False,"{'a': 0.3, 'e': 0.08569110759616845}",20,12,12.283299226969174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.3, 'e': 0.08070844845480062}",25,10,9.236953445568497,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.3, 'e': 0.07572377160642475}",20,6,15.350100203794959,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.3, 'e': 0.0707372016677029}",20,10,18.522720243350573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.3, 'e': 0.06574886330262336}",30,10,-46.53986563540656,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
303,False,"{'a': 0.3, 'e': 0.0607588812193859}",20,10,18.317723543824833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.3, 'e': 0.05576738016728225}",25,0,33.8909374550703,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,False,"{'a': 0.3, 'e': 0.05077448493357918}",30,15,27.57259900574031,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.3, 'e': 0.04578032034039706}",25,13,20.57498287577275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.3, 'e': 0.040785011241591035}",20,5,14.011082574243577,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.3, 'e': 0.03578868251962797}",20,9,23.680271863464352,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.3, 'e': 0.030791459082466124}",30,21,18.720885468358805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.3, 'e': 0.02579346586043094}",25,8,28.038321534839824,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,7,23.673326090524807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,8,39.67011413170574,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,12,14.91152993908152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,15,9.154814594647872,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,4,32.823793606762045,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,14,18.209584786911428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,11,24.408862381879302,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,16,15.362285247606934,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,21,17.4822085439379,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,12,17.781789406209228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
